	id	title	all_artists	popularity	release_date	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
0	42ZrMq4BKsWDrrbMnMRYaK	Jail	Kanye West	1	2021-08-29	0.458	0.571	4	-6.739	1	0.535	0.000305	0.0846	0.586	110.013	297000	4
1	1dPNJDYuW9QAtkOpK3eBvO	God Breathed	Kanye West	0	2021-08-29	0.325	0.311	10	-7.481	1	0.289	6.74e-05	0.11	0.0789	92.744	333462	3
2	2gbMPBrBVj3CuNTLp2dHYs	Off The Grid	Kanye West	1	2021-08-29	0.546	0.64	8	-5.582	1	0.0438	0.0	0.137	0.63	137.728	339250	4
3	0RbW8kWozrVSIGb4V13o0o	Hurricane	Kanye West	2	2021-08-29	0.587	0.561	0	-6.569	1	0.0466	0.0	0.109	0.351	80.009	243187	4
4	0Zm7NKJgoKY6ZWwtoEUILK	Praise God	Kanye West	0	2021-08-29	0.798	0.545	1	-6.466	1	0.00904	9.48e-05	0.258	0.212	118.029	226653	4
5	3gWzTnziivUYzqXtnvgN8q	Jonah	Kanye West	0	2021-08-29	0.459	0.431	9	-8.375	0	0.795	0.0	0.274	0.128	177.3	195170	4
6	4VYEnxm7lmtG5sEEbcmORB	Ok Ok	Kanye West	0	2021-08-29	0.738	0.471	11	-9.208	0	0.319	1.28e-06	0.13	0.283	107.98	204630	5
7	1aF9TeHZbe6OVo9dtjPuzK	Junya	Kanye West	0	2021-08-29	0.752	0.69	7	-3.948	1	0.27	0.0	0.303	0.396	148.07	147669	4
8	73uxnSsFMeJ15POpd3zgrV	Believe What I Say	Kanye West	18	2021-08-29	0.595	0.656	7	-7.868	1	0.148	0.0	0.47	0.416	99.811	242400	4
9	7DBFslKWQzoRgO0HBBkL3u	24	Kanye West	0	2021-08-29	0.386	0.534	5	-6.086	0	0.129	0.0	0.351	0.343	110.057	197898	4
10	3SYLoL8KHxdQPYIkfwmUjN	Remote Control	Kanye West	0	2021-08-29	0.792	0.548	4	-7.079	1	0.0784	7.26e-05	0.167	0.197	110.105	198614	4
11	2Rd4eJ4KwXQQn2sMSToyUM	Moon	Kanye West	6	2021-08-29	0.319	0.236	5	-9.644	1	0.898	1.62e-05	0.272	0.254	162.351	156091	4
12	2ZUJsR8HEktit58X6FuPQM	Heaven and Hell	Kanye West	0	2021-08-29	0.764	0.422	0	-7.265	0	0.0409	0.0	0.152	0.268	82.986	145301	4
13	2TJ1FOCmCBkKm418MjVw5D	Donda	Kanye West	0	2021-08-29	0.534	0.491	10	-7.945	1	0.849	0.0	0.192	0.428	105.989	128313	5
14	4IlOyxGATYUp7YVy5zrSW8	Keep My Spirit Alive	Kanye West	0	2021-08-29	0.467	0.655	0	-6.548	1	0.245	0.000172	0.167	0.0627	166.382	221386	4
15	56JwgcQcxo08w7YXrBzrA5	Jesus Lord	Kanye West	0	2021-08-29	0.477	0.713	1	-6.805	1	0.0984	0.00844	0.0879	0.113	106.137	538537	5
16	2GPTiPR5db727wu1tFvFt4	New Again	Kanye West	0	2021-08-29	0.679	0.673	6	-5.17	0	0.066	0.0	0.479	0.295	91.112	183297	4
17	34TiQsddaGhd8lmzJfxSzH	Tell The Vision	Kanye West	0	2021-08-29	0.714	0.417	2	-11.085	0	0.209	0.0	0.105	0.213	144.064	104219	3
18	5YRFttxjAEgm2nq5Z2tlqK	Lord I Need You	Kanye West	0	2021-08-29	0.711	0.428	1	-7.274	0	0.145	0.0	0.534	0.197	83.036	162108	4
19	7up5MwPUHQdv4DkzQRHRWP	Pure Souls	Kanye West	0	2021-08-29	0.381	0.528	5	-6.997	1	0.102	0.0	0.269	0.256	97.207	358622	4
20	6DZz58CbF0AKw5PCKqNKcM	Come to Life	Kanye West	0	2021-08-29	0.44	0.465	3	-6.592	1	0.689	1.26e-06	0.384	0.241	126.937	310394	4
21	3onYsG7nB3FwEVHYYWCrIM	No Child Left Behind	Kanye West	11	2021-08-29	0.161	0.327	1	-8.059	0	0.00632	0.792	0.138	0.0815	135.382	178061	3
22	7f1w2rZoIf7g56McEUTh5W	Jail pt 2	Kanye West	0	2021-08-29	0.7	0.572	4	-6.459	1	0.453	0.0	0.0871	0.686	109.985	297000	4
23	1QCqedB1ibmRO9x7Ikb5LI	Ok Ok pt 2	Kanye West	0	2021-08-29	0.641	0.473	11	-9.068	0	0.406	2.14e-06	0.13	0.412	82.295	204630	4
24	7soCc4TpT99bOhJoCiMqFN	Junya pt 2	Kanye West	0	2021-08-29	0.753	0.767	7	-3.773	1	0.309	0.0	0.279	0.258	148.13	182635	4
25	72dummgz1gSqm8faekYYQh	Jesus Lord pt 2	Kanye West	0	2021-08-29	0.524	0.726	8	-6.628	1	0.0705	0.0192	0.0877	0.146	107.4	690732	5
26	3aUFrxO1B8EW63QchEl3wX	Feel The Love	Pusha T	61	2018-06-08	0.58	0.469	0	-5.946	0	0.126	7.32e-05	0.099	0.369	110.573	165053	4
